OpenCTD,,,,,,,,Commercial CTD,,,,
Raw Data,,,,,Processed Data,,,Raw Data,,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,,Depth (m),Temp C,,Depth (m),Temp C,,Depth (m),Temp Temp C
12.94,12.75,13.63,1084.8,,0.63,12.21,,0.606,11.6819,,0.61,11.68
12.94,12.75,13.63,1107.1,,0.86,12.21,,0.661,11.7121,,0.66,11.71
12.94,12.75,13.63,1126,,1.05,12.21,,0.632,11.7114,,0.63,11.71
12.94,12.75,13.56,1148.4,,1.28,12.18,,0.631,11.7118,,0.63,11.71
12.94,12.75,13.56,1170.6,,1.5,12.18,,0.653,11.7118,,0.65,11.71
12.94,12.75,13.63,1189.6,,1.7,12.21,,0.653,11.7119,,0.65,11.71
12.94,12.75,13.63,1213.1,,1.94,12.21,,0.621,11.7118,,0.62,11.71
12.94,12.75,13.63,1230.9,,2.12,12.21,,0.683,11.7117,,0.68,11.71
12.94,12.75,13.63,1253.2,,2.34,12.21,,0.711,11.7121,,0.71,11.71
12.94,12.75,13.63,1276.6,,2.58,12.21,,0.683,11.7122,,0.68,11.71
12.94,12.75,13.56,1296.7,,2.79,12.18,,0.682,11.7121,,0.68,11.71
12.94,12.75,13.5,1315.7,,2.98,12.16,,0.714,11.7123,,0.71,11.71
12.94,12.75,13.5,1335.8,,3.19,12.16,,0.771,11.7124,,0.77,11.71
12.88,12.75,13.38,1394.8,,3.79,12.1,,0.784,11.7116,,0.78,11.71
12.88,12.75,13.44,1412.7,,3.97,12.12,,0.792,11.7112,,0.79,11.71
12.88,12.75,13.38,1431.6,,4.16,12.1,,0.753,11.7111,,0.75,11.71
12.81,12.75,13.38,1450.6,,4.36,12.08,,0.792,11.7111,,0.79,11.71
12.81,12.69,13.31,1468.5,,4.54,12.04,,0.803,11.7106,,0.8,11.71
12.75,12.63,13.25,1488.5,,4.74,11.98,,0.763,11.7107,,0.76,11.71
12.69,12.56,13.19,1520.8,,5.07,11.91,,0.792,11.7106,,0.79,11.71
12.69,12.5,13.19,1536.5,,5.23,11.89,,0.803,11.7106,,0.8,11.71
12.69,12.5,13.19,1556.5,,5.44,11.89,,0.822,11.7109,,0.82,11.71
12.63,12.44,13.13,1573.2,,5.61,11.83,,0.894,11.7108,,0.89,11.71
