OpenCTD,,,,,,Commercial CTD,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C
4.25,4.38,4.31,14700.7,139.42,3.71,140.305,3.7467,140.31,3.75
4.25,4.38,4.25,14703.4,139.45,3.69,140.294,3.7471,140.29,3.75
4.25,4.38,4.31,14702.9,139.45,3.71,140.305,3.7469,140.31,3.75
4.19,4.38,4.31,14700.2,139.42,3.69,140.293,3.7471,140.29,3.75
4.25,4.38,4.31,14702.3,139.44,3.71,140.294,3.7471,140.29,3.75
4.25,4.38,4.31,14703.4,139.45,3.71,140.294,3.7471,140.29,3.75
4.19,4.38,4.31,14703.9,139.46,3.69,140.284,3.747,140.28,3.75
4.19,4.38,4.31,14703.4,139.45,3.69,140.284,3.7471,140.28,3.75
4.25,4.38,4.31,14702.3,139.44,3.71,140.294,3.747,140.29,3.75
4.19,4.38,4.31,14698.5,139.4,3.69,140.275,3.7471,140.28,3.75
4.25,4.38,4.31,14706.1,139.48,3.71,140.284,3.747,140.28,3.75
4.25,4.38,4.31,14703.9,139.46,3.71,140.275,3.7467,140.28,3.75
4.25,4.38,4.31,14699.6,139.41,3.71,140.284,3.7471,140.28,3.75
4.25,4.38,4.31,14703.9,139.46,3.71,140.275,3.7468,140.28,3.75
4.25,4.38,4.31,14702.8,139.45,3.71,140.275,3.7471,140.28,3.75
4.25,4.38,4.31,14704.4,139.46,3.71,140.275,3.747,140.28,3.75
4.25,4.38,4.31,14706.1,139.48,3.71,140.275,3.7469,140.28,3.75
4.19,4.38,4.31,14702.3,139.44,3.69,140.263,3.747,140.26,3.75
4.25,4.38,4.31,14703.3,139.45,3.71,140.275,3.7471,140.28,3.75
4.25,4.38,4.31,14705.5,139.47,3.71,140.263,3.7471,140.26,3.75
4.19,4.38,4.31,14702.8,139.45,3.69,140.263,3.7471,140.26,3.75
4.25,4.38,4.31,14700.6,139.42,3.71,140.262,3.7471,140.26,3.75
4.25,4.38,4.31,14704.4,139.46,3.71,140.263,3.7473,140.26,3.75
4.25,4.38,4.31,14705,139.47,3.71,140.263,3.7471,140.26,3.75
4.25,4.38,4.31,14702.3,139.44,3.71,140.263,3.7473,140.26,3.75
4.25,4.31,4.31,14704.4,139.46,3.69,140.263,3.7471,140.26,3.75
4.19,4.38,4.31,14704.4,139.46,3.69,140.263,3.7471,140.26,3.75
4.19,4.38,4.31,14706.2,139.48,3.69,140.264,3.7471,140.26,3.75
4.19,4.38,4.31,14704.5,139.46,3.69,140.254,3.7471,140.25,3.75
4.19,4.38,4.31,14705.1,139.47,3.69,140.264,3.747,140.26,3.75
4.25,4.38,4.31,14707.7,139.5,3.71,140.264,3.7471,140.26,3.75
4.19,4.38,4.31,14704.4,139.46,3.69,140.264,3.747,140.26,3.75
4.19,4.38,4.31,14704.4,139.46,3.69,140.275,3.7471,140.28,3.75
4.25,4.38,4.31,14704.4,139.46,3.71,140.264,3.7469,140.26,3.75
4.19,4.38,4.31,14706.6,139.48,3.69,140.264,3.747,140.26,3.75
4.19,4.38,4.25,14705.5,139.47,3.67,140.275,3.7469,140.28,3.75
4.19,4.38,4.31,14703.8,139.46,3.69,140.264,3.7468,140.26,3.75
4.19,4.38,4.31,14706.6,139.48,3.69,140.275,3.7467,140.28,3.75
4.25,4.38,4.31,14707.2,139.49,3.71,140.272,3.7466,140.27,3.75
4.19,4.38,4.31,14704.4,139.46,3.69,140.275,3.7466,140.28,3.75
4.19,4.38,4.31,14707.7,139.5,3.69,140.275,3.7467,140.28,3.75
4.19,4.38,4.25,14705.5,139.47,3.67,140.275,3.7468,140.28,3.75
4.19,4.38,4.25,14703.8,139.46,3.67,140.284,3.7469,140.28,3.75
4.19,4.38,4.25,14704.9,139.47,3.67,140.275,3.747,140.28,3.75
4.19,4.38,4.25,14707.7,139.5,3.67,140.284,3.7469,140.28,3.75
4.19,4.38,4.25,14707.1,139.49,3.67,140.284,3.747,140.28,3.75
4.19,4.38,4.25,14703.8,139.46,3.67,140.284,3.7472,140.28,3.75
4.19,4.38,4.25,14706,139.48,3.67,140.284,3.7472,140.28,3.75
4.25,4.38,4.25,14711.5,139.53,3.69,140.284,3.7475,140.28,3.75
4.19,4.38,4.25,14703.3,139.45,3.67,140.294,3.7474,140.29,3.75
4.19,4.38,4.25,14708.7,139.51,3.67,140.284,3.7473,140.28,3.75
