OpenCTD,,,,,,Commercial CTD,,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C,
16.87,15.81,16.69,1049.3,0.27,15.86,0.499,12.4896,0.5,12.49,
16.62,15.38,16.5,1073.7,0.51,15.57,0.487,12.4899,0.49,12.49,
16.19,14.81,16.25,1085.9,0.64,15.15,0.478,12.4899,0.48,12.49,
15.69,14.44,16,1092.6,0.71,14.78,0.477,12.4898,0.48,12.49,
15.31,14.19,15.75,1091.5,0.7,14.48,0.478,12.4894,0.48,12.49,
15.13,14.06,15.56,1087,0.65,14.32,0.469,12.4894,0.47,12.49,
15,13.94,15.5,1093.7,0.72,14.21,0.467,12.4896,0.47,12.49,
14.81,13.88,15.38,1091.4,0.7,14.09,0.469,12.4901,0.47,12.49,
14.69,13.81,15.25,1085.9,0.64,13.98,0.467,12.4901,0.47,12.49,
14.63,13.81,15.19,1094.8,0.73,13.94,0.478,12.4901,0.48,12.49,
14.56,13.75,15.19,1090.3,0.68,13.9,0.477,12.4901,0.48,12.49,
14.56,13.75,15.13,1089.2,0.67,13.88,0.488,12.4902,0.49,12.49,
14.5,13.69,15.06,1092.5,0.71,13.82,0.496,12.4901,0.5,12.49,
14.44,13.75,15.06,1082.5,0.6,13.82,0.509,12.4902,0.51,12.49,
14.44,13.69,15,1094.7,0.73,13.78,0.507,12.4906,0.51,12.49,
14.38,13.69,15,1083.6,0.62,13.76,0.539,12.4901,0.54,12.49,
14.38,13.69,15,1092.5,0.71,13.76,0.557,12.4906,0.56,12.49,
14.31,13.63,15,1088.1,0.66,13.71,0.569,12.4911,0.57,12.49,
14.31,13.63,14.94,1090.3,0.68,13.69,0.598,12.4928,0.6,12.49,
14.25,13.63,14.94,1092.5,0.71,13.67,0.619,12.495,0.62,12.5,
14.25,13.63,14.94,1083.6,0.62,13.67,0.617,12.4961,0.62,12.5,
14.25,13.63,14.88,1093.6,0.72,13.65,0.63,12.4961,0.63,12.5,
14.19,13.56,14.88,1088,0.66,13.61,0.657,12.496,0.66,12.5,
14.19,13.56,14.81,1090.3,0.68,13.59,0.66,12.4953,0.66,12.5,
14.19,13.56,14.81,1089.2,0.67,13.59,0.678,12.4956,0.68,12.5,
