OpenCTD,,,,,,Commercial CTD,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C
4.56,4.5,4.69,8909.9,80.39,3.98,80.35,3.8699,80.35,3.87
4.56,4.56,4.75,8909.9,80.39,4.02,80.35,3.8704,80.35,3.87
4.56,4.56,4.69,8910.6,80.4,4,80.35,3.8706,80.35,3.87
4.56,4.56,4.69,8909.5,80.39,4,80.36,3.8704,80.36,3.87
4.56,4.56,4.69,8907,80.36,4,80.35,3.8701,80.35,3.87
4.56,4.56,4.69,8908.8,80.38,4,80.36,3.8696,80.36,3.87
4.56,4.56,4.69,8909.5,80.39,4,80.346,3.8693,80.35,3.87
4.56,4.56,4.69,8909.5,80.39,4,80.36,3.8693,80.36,3.87
4.56,4.56,4.69,8909.9,80.39,4,80.36,3.8696,80.36,3.87
4.56,4.56,4.69,8908.4,80.38,4,80.36,3.8696,80.36,3.87
4.56,4.56,4.69,8908.4,80.38,4,80.35,3.8701,80.35,3.87
4.56,4.56,4.69,8907,80.36,4,80.36,3.8693,80.36,3.87
4.56,4.56,4.69,8909.9,80.39,4,80.35,3.8691,80.35,3.87
4.56,4.56,4.69,8906.7,80.36,4,80.36,3.8695,80.36,3.87
4.56,4.56,4.69,8909.2,80.39,4,80.36,3.8698,80.36,3.87
4.56,4.56,4.69,8910.3,80.4,4,80.36,3.8695,80.36,3.87
4.56,4.56,4.69,8909.9,80.39,4,80.35,3.8687,80.35,3.87
4.56,4.56,4.69,8908.5,80.38,4,80.36,3.8682,80.36,3.87
4.56,4.56,4.69,8908.5,80.38,4,80.356,3.868,80.36,3.87
4.56,4.56,4.69,8908.2,80.38,4,80.35,3.8677,80.35,3.87
4.56,4.56,4.69,8908.9,80.38,4,80.36,3.8677,80.36,3.87
4.56,4.56,4.69,8910.3,80.4,4,80.36,3.8677,80.36,3.87
4.56,4.56,4.69,8911.1,80.41,4,80.35,3.8677,80.35,3.87
4.56,4.56,4.69,8907.1,80.37,4,80.36,3.8674,80.36,3.87
4.56,4.56,4.69,8907.5,80.37,4,80.35,3.8671,80.35,3.87
4.56,4.56,4.69,8908.9,80.38,4,80.36,3.8667,80.36,3.87
4.56,4.56,4.69,8910.3,80.4,4,80.35,3.8671,80.35,3.87
4.56,4.56,4.63,8907.5,80.37,3.98,80.35,3.8674,80.35,3.87
4.56,4.56,4.69,8908.6,80.38,4,80.35,3.8674,80.35,3.87
4.56,4.56,4.63,8909.6,80.39,3.98,80.346,3.8675,80.35,3.87
4.56,4.56,4.63,8909.6,80.39,3.98,80.36,3.8674,80.36,3.87
4.56,4.56,4.69,8908.9,80.38,4,80.36,3.8672,80.36,3.87
4.56,4.56,4.63,8908.6,80.38,3.98,80.35,3.8672,80.35,3.87
4.56,4.56,4.63,8908.6,80.38,3.98,80.35,3.8675,80.35,3.87
4.5,4.56,4.63,8909.6,80.39,3.96,80.35,3.8679,80.35,3.87
4.5,4.56,4.63,8909.3,80.39,3.96,80.341,3.8675,80.34,3.87
4.56,4.56,4.69,8907.2,80.37,4,80.35,3.8677,80.35,3.87
4.56,4.56,4.63,8909,80.39,3.98,80.35,3.8675,80.35,3.87
4.56,4.56,4.63,8910,80.4,3.98,80.35,3.868,80.35,3.87
4.5,4.5,4.63,8910,80.4,3.94,80.35,3.8679,80.35,3.87
