OpenCTD,,,,,,Commercial CTD,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C
6.44,6.81,6.5,3813.4,28.44,5.68,28.018,5.8155,28.02,5.82
6.44,6.75,6.5,3840.6,28.72,5.66,28.007,5.8157,28.01,5.82
6.5,6.75,6.44,3847.1,28.79,5.66,27.998,5.8155,28,5.82
6.44,6.75,6.44,3845.9,28.77,5.64,27.978,5.8157,27.98,5.82
6.44,6.81,6.44,3846.8,28.78,5.66,27.978,5.8157,27.98,5.82
6.44,6.75,6.44,3847.9,28.79,5.64,27.957,5.8158,27.96,5.82
6.5,6.81,6.44,3847.1,28.79,5.68,27.946,5.8157,27.95,5.82
6.44,6.81,6.5,3846,28.77,5.68,27.938,5.8155,27.94,5.82
6.44,6.81,6.5,3848.3,28.8,5.68,27.917,5.8153,27.92,5.82
6.44,6.81,6.5,3848.4,28.8,5.68,27.917,5.8157,27.92,5.82
6.44,6.81,6.44,3847.6,28.79,5.66,27.895,5.8157,27.9,5.82
6.44,6.81,6.5,3846.4,28.78,5.68,27.887,5.8155,27.89,5.82
6.44,6.81,6.5,3847.7,28.79,5.68,27.877,5.8158,27.88,5.82
6.44,6.81,6.5,3848.6,28.8,5.68,27.867,5.8162,27.87,5.82
6.44,6.81,6.5,3848.7,28.8,5.68,27.855,5.816,27.86,5.82
6.44,6.81,6.5,3847.3,28.79,5.68,27.847,5.8163,27.85,5.82
6.5,6.81,6.5,3847.8,28.79,5.7,27.826,5.8163,27.83,5.82
6.44,6.81,6.5,3849.7,28.81,5.68,27.826,5.8163,27.83,5.82
6.44,6.81,6.5,3849.5,28.81,5.68,27.814,5.8161,27.81,5.82
6.44,6.81,6.5,3847.3,28.79,5.68,27.796,5.8162,27.8,5.82
6.5,6.81,6.5,3847.3,28.79,5.7,27.786,5.8163,27.79,5.82
6.5,6.81,6.44,3848.1,28.8,5.68,27.764,5.8165,27.76,5.82
6.5,6.81,6.5,3850.1,28.82,5.7,27.786,5.8163,27.79,5.82
6.5,6.81,6.5,3849.1,28.81,5.7,27.756,5.8161,27.76,5.82
6.44,6.81,6.5,3848,28.8,5.68,27.746,5.816,27.75,5.82
6.44,6.81,6.5,3849.1,28.81,5.68,27.743,5.8161,27.74,5.82
6.44,6.81,6.5,3849.1,28.81,5.68,27.725,5.8163,27.73,5.82
6.44,6.81,6.44,3848.1,28.8,5.66,27.716,5.8158,27.72,5.82
6.44,6.81,6.44,3848,28.8,5.66,27.705,5.8163,27.71,5.82
6.44,6.81,6.5,3851.1,28.83,5.68,27.694,5.8163,27.69,5.82
6.44,6.81,6.5,3850.7,28.82,5.68,27.685,5.8174,27.69,5.82
6.44,6.81,6.5,3850.5,28.82,5.68,27.674,5.8176,27.67,5.82
6.44,6.81,6.5,3849.3,28.81,5.68,27.665,5.8178,27.67,5.82
6.5,6.81,6.5,3850.4,28.82,5.7,27.652,5.8176,27.65,5.82
6.5,6.81,6.5,3850.4,28.82,5.7,27.655,5.8179,27.66,5.82
6.44,6.81,6.5,3848.7,28.8,5.68,27.625,5.8182,27.63,5.82
6.44,6.81,6.5,3849.8,28.81,5.68,27.633,5.8188,27.63,5.82
6.44,6.81,6.5,3850.8,28.82,5.68,27.615,5.8186,27.62,5.82
6.44,6.81,6.5,3849.4,28.81,5.68,27.604,5.8189,27.6,5.82
6.44,6.81,6.5,3849.6,28.81,5.68,27.594,5.8189,27.59,5.82
6.5,6.81,6.5,3849.8,28.81,5.7,27.582,5.8194,27.58,5.82
6.5,6.81,6.5,3848.6,28.8,5.7,27.574,5.8195,27.57,5.82
6.44,6.81,6.5,3850.1,28.82,5.68,27.554,5.8192,27.55,5.82
6.44,6.81,6.44,3850.1,28.82,5.66,27.561,5.8191,27.56,5.82
6.5,6.81,6.5,3848.9,28.8,5.7,27.543,5.819,27.54,5.82
6.5,6.81,6.5,3849.8,28.81,5.7,27.524,5.8192,27.52,5.82
6.5,6.81,6.5,3850.5,28.82,5.7,27.524,5.8192,27.52,5.82
6.5,6.81,6.5,3848.9,28.8,5.7,27.512,5.8194,27.51,5.82
6.44,6.81,6.5,3850.8,28.82,5.68,27.494,5.8197,27.49,5.82
6.5,6.81,6.5,3850.6,28.82,5.7,27.494,5.8195,27.49,5.82
6.5,6.81,6.5,3851.9,28.83,5.7,27.481,5.8192,27.48,5.82
6.5,6.81,6.5,3849.9,28.81,5.7,27.463,5.819,27.46,5.82
6.5,6.81,6.5,3851.1,28.83,5.7,27.452,5.8188,27.45,5.82
6.5,6.81,6.5,3851,28.83,5.7,27.443,5.8186,27.44,5.82
6.5,6.81,6.5,3850.1,28.82,5.7,27.43,5.8192,27.43,5.82
6.5,6.81,6.5,3848.9,28.8,5.7,27.422,5.8192,27.42,5.82
6.5,6.81,6.5,3849.6,28.81,5.7,27.403,5.8192,27.4,5.82
6.5,6.81,6.5,3851.5,28.83,5.7,27.4,5.8197,27.4,5.82
6.5,6.81,6.5,3851,28.83,5.7,27.382,5.82,27.38,5.82
6.5,6.81,6.5,3852.9,28.85,5.7,27.382,5.8202,27.38,5.82
6.5,6.81,6.5,3848.8,28.8,5.7,27.36,5.8202,27.36,5.82
6.44,6.81,6.5,3849.6,28.81,5.68,27.352,5.8202,27.35,5.82
6.5,6.81,6.5,3850.5,28.82,5.7,27.333,5.8202,27.33,5.82
6.5,6.81,6.5,3850.2,28.82,5.7,27.33,5.8202,27.33,5.82
6.5,6.81,6.5,3850.2,28.82,5.7,27.312,5.8204,27.31,5.82
6.5,6.81,6.44,3851.3,28.83,5.68,27.302,5.8202,27.3,5.82
6.5,6.81,6.5,3851.4,28.83,5.7,27.299,5.82,27.3,5.82
6.5,6.81,6.5,3851.2,28.83,5.7,27.272,5.8197,27.27,5.82
6.5,6.81,6.5,3848.7,28.8,5.7,27.261,5.8197,27.26,5.82
6.5,6.81,6.5,3851.7,28.83,5.7,27.251,5.8199,27.25,5.82
6.5,6.81,6.5,3850.8,28.82,5.7,27.248,5.8198,27.25,5.82
6.5,6.81,6.5,3850.6,28.82,5.7,27.221,5.8204,27.22,5.82
6.5,6.81,6.5,3850.6,28.82,5.7,27.211,5.8203,27.21,5.82
6.5,6.81,6.5,3850.5,28.82,5.7,27.209,5.8208,27.21,5.82
6.5,6.75,6.5,3850.4,28.82,5.68,27.191,5.8207,27.19,5.82
6.5,6.81,6.5,3850.5,28.82,5.7,27.181,5.8208,27.18,5.82
6.5,6.81,6.5,3851.5,28.83,5.7,27.158,5.821,27.16,5.82
6.5,6.81,6.5,3848,28.8,5.7,27.151,5.8211,27.15,5.82
6.5,6.81,6.5,3851.2,28.83,5.7,27.141,5.8212,27.14,5.82
6.5,6.81,6.5,3853.2,28.85,5.7,27.138,5.8211,27.14,5.82
6.5,6.81,6.5,3851.2,28.83,5.7,27.111,5.821,27.11,5.82
6.5,6.81,6.5,3851.2,28.83,5.7,27.1,5.8215,27.1,5.82
6.5,6.81,6.5,3852.3,28.84,5.7,27.087,5.8218,27.09,5.82
6.5,6.81,6.5,3851.2,28.83,5.7,27.08,5.8218,27.08,5.82
6.5,6.81,6.5,3850.1,28.82,5.7,27.047,5.8218,27.05,5.82
6.5,6.81,6.56,3851.3,28.83,5.72,27.069,5.8224,27.07,5.82
6.5,6.81,6.5,3852.2,28.84,5.7,27.039,5.8225,27.04,5.82
6.5,6.81,6.56,3850.8,28.82,5.72,27.036,5.8229,27.04,5.82
6.5,6.81,6.56,3850.7,28.82,5.72,27.009,5.823,27.01,5.82
6.5,6.81,6.56,3850.8,28.82,5.72,26.999,5.8234,27,5.82
6.5,6.81,6.56,3850.4,28.82,5.72,26.987,5.8234,26.99,5.82
6.5,6.81,6.56,3852.9,28.85,5.72,26.978,5.8233,26.98,5.82
