OpenCTD,,,,,,Commercial CTD,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C
16.31,16.69,16.5,1030.7,0.08,15.9,0.452,10.9883,0.45,10.99
16.19,16.19,16.44,1060.7,0.38,15.67,0.45,10.9892,0.45,10.99
15.44,15.19,16,1076.2,0.54,14.94,0.461,10.9887,0.46,10.99
14.69,14.44,15.63,1078.5,0.56,14.32,0.45,10.9881,0.45,10.99
14.13,13.88,15.25,1079.6,0.57,13.82,0.452,10.9884,0.45,10.99
13.69,13.56,14.94,1077.4,0.55,13.46,0.439,10.9877,0.44,10.99
13.38,13.31,14.69,1078.5,0.56,13.19,0.452,10.9852,0.45,10.99
13.19,13.13,14.56,1078.5,0.56,13.03,0.45,10.9842,0.45,10.98
13.06,13.06,14.44,1078.5,0.56,12.92,0.442,10.9865,0.44,10.99
12.94,12.94,14.31,1079.6,0.57,12.8,0.45,10.9901,0.45,10.99
12.88,12.88,14.25,1079.5,0.57,12.74,0.452,10.9908,0.45,10.99
12.88,12.81,14.19,1077.3,0.55,12.69,0.439,10.9891,0.44,10.99
12.81,12.81,14.13,1080.7,0.59,12.65,0.45,10.9897,0.45,10.99
12.75,12.75,14.06,1076.2,0.54,12.59,0.452,10.9958,0.45,11
12.69,12.69,14,1077.4,0.55,12.53,0.45,10.9991,0.45,11
12.69,12.69,14,1078.5,0.56,12.53,0.452,10.9962,0.45,11
12.63,12.69,13.94,1077.4,0.55,12.49,0.45,10.9951,0.45,11
12.63,12.69,13.88,1077.3,0.55,12.47,0.452,10.9931,0.45,10.99
12.56,12.63,13.88,1078.4,0.56,12.42,0.45,10.9883,0.45,10.99
12.5,12.63,13.81,1078.4,0.56,12.38,0.452,10.9876,0.45,10.99
12.5,12.56,13.81,1078.4,0.56,12.36,0.46,10.9911,0.46,10.99
12.5,12.56,13.75,1078.4,0.56,12.34,0.452,10.9954,0.45,11
12.44,12.56,13.75,1077.4,0.55,12.32,0.46,10.9984,0.46,11
12.44,12.56,13.75,1076.2,0.54,12.32,0.452,11.0007,0.45,11
12.44,12.56,13.75,1077.3,0.55,12.32,0.46,11.0028,0.46,11
12.44,12.56,13.69,1077.3,0.55,12.3,0.461,11.0041,0.46,11
12.44,12.56,13.69,1077.3,0.55,12.3,0.46,11.005,0.46,11.01
12.44,12.56,13.69,1077.3,0.55,12.3,0.461,11.0046,0.46,11
12.44,12.5,13.69,1077.3,0.55,12.28,0.469,11.0017,0.47,11
12.44,12.5,13.75,1077.3,0.55,12.3,0.461,10.9984,0.46,11
12.5,12.56,13.75,1077.3,0.55,12.34,0.469,10.9979,0.47,11
12.5,12.56,13.75,1077.3,0.55,12.34,0.461,10.9983,0.46,11
12.44,12.56,13.69,1077.3,0.55,12.3,0.469,10.9981,0.47,11
12.44,12.56,13.69,1075.1,0.53,12.3,0.472,10.9983,0.47,11
12.44,12.56,13.69,1078.4,0.56,12.3,0.46,10.9979,0.46,11
12.44,12.56,13.69,1077.3,0.55,12.3,0.472,10.9975,0.47,11
12.44,12.56,13.69,1077.3,0.55,12.3,0.469,10.999,0.47,11
12.44,12.56,13.69,1077.3,0.55,12.3,0.472,10.9926,0.47,10.99
12.44,12.56,13.69,1077.3,0.55,12.3,0.479,10.9819,0.48,10.98
12.5,12.56,13.69,1077.3,0.55,12.32,0.472,10.9781,0.47,10.98
12.44,12.56,13.69,1076.2,0.54,12.3,0.469,10.9764,0.47,10.98
12.44,12.56,13.69,1076.2,0.54,12.3,0.472,10.9752,0.47,10.98
12.44,12.5,13.69,1077.3,0.55,12.28,0.479,10.9744,0.48,10.97
